Chain	ctx11	ctx12	ctx13	ctx21	ctx22	ctx23	STD	TC	diff
t22	1	2	5	3	4	6	50	50	0
t23	1	2	5	3	4	6	326	326	0
t11	1	2	5	3	4	6	10	10	0
t12	1	2	5	3	4	6	12	12	0
t13	1	2	5	3	4	6	79	79	0
t21	1	2	5	3	4	6	29	29	0
t22	1	2	5	3	6	4	343	200	143
t23	1	2	5	3	6	4	61	58	3
t11	1	2	5	3	6	4	10	10	0
t12	1	2	5	3	6	4	12	12	0
t13	1	2	5	3	6	4	113	54	59
t21	1	2	5	3	6	4	29	29	0
t22	1	2	5	4	3	6	35	35	0
t23	1	2	5	4	3	6	373	373	0
t11	1	2	5	4	3	6	10	10	0
t12	1	2	5	4	3	6	12	12	0
t13	1	2	5	4	3	6	89	89	0
t21	1	2	5	4	3	6	50	50	0
t22	1	2	5	4	6	3	446	205	241
t23	1	2	5	4	6	3	59	45	14
t11	1	2	5	4	6	3	10	10	0
t12	1	2	5	4	6	3	12	12	0
t13	1	2	5	4	6	3	128	54	74
t21	1	2	5	4	6	3	95	34	61
t22	1	2	5	6	3	4	0	87	-87
t23	1	2	5	6	3	4	0	66	-66
t11	1	2	5	6	3	4	0	10	-10
t12	1	2	5	6	3	4	0	12	-12
t13	1	2	5	6	3	4	0	70	-70
t21	1	2	5	6	3	4	0	213	-213
t22	1	2	5	6	4	3	0	92	-92
t23	1	2	5	6	4	3	0	45	-45
t11	1	2	5	6	4	3	0	10	-10
t12	1	2	5	6	4	3	0	12	-12
t13	1	2	5	6	4	3	0	70	-70
t21	1	2	5	6	4	3	0	213	-213
t22	1	2	6	3	4	5	50	50	0
t23	1	2	6	3	4	5	55	55	0
t11	1	2	6	3	4	5	10	10	0
t12	1	2	6	3	4	5	12	12	0
t13	1	2	6	3	4	5	133	133	0
t21	1	2	6	3	4	5	29	29	0
t22	1	2	6	3	5	4	72	72	0
t23	1	2	6	3	5	4	47	47	0
t11	1	2	6	3	5	4	10	10	0
t12	1	2	6	3	5	4	12	12	0
t13	1	2	6	3	5	4	134	134	0
t21	1	2	6	3	5	4	29	29	0
t22	1	2	6	4	3	5	35	35	0
t23	1	2	6	4	3	5	86	86	0
t11	1	2	6	4	3	5	10	10	0
t12	1	2	6	4	3	5	12	12	0
t13	1	2	6	4	3	5	138	138	0
t21	1	2	6	4	3	5	50	50	0
t22	1	2	6	4	5	3	72	72	0
t23	1	2	6	4	5	3	42	42	0
t11	1	2	6	4	5	3	10	10	0
t12	1	2	6	4	5	3	12	12	0
t13	1	2	6	4	5	3	139	134	5
t21	1	2	6	4	5	3	51	34	17
t22	1	2	6	5	3	4	65	58	7
t23	1	2	6	5	3	4	107	65	42
t11	1	2	6	5	3	4	10	10	0
t12	1	2	6	5	3	4	12	12	0
t13	1	2	6	5	3	4	195	155	40
t21	1	2	6	5	3	4	131	93	38
t22	1	2	6	5	4	3	111	65	46
t23	1	2	6	5	4	3	45	42	3
t11	1	2	6	5	4	3	10	10	0
t12	1	2	6	5	4	3	12	12	0
t13	1	2	6	5	4	3	210	155	55
t21	1	2	6	5	4	3	146	93	53
t22	1	3	2	4	5	6	252	146	106
t23	1	3	2	4	5	6	753	466	287
t11	1	3	2	4	5	6	10	10	0
t12	1	3	2	4	5	6	84	40	44
t13	1	3	2	4	5	6	42	28	14
t21	1	3	2	4	5	6	133	73	60
t22	1	3	2	4	6	5	684	244	440
t23	1	3	2	4	6	5	346	147	199
t11	1	3	2	4	6	5	10	10	0
t12	1	3	2	4	6	5	84	40	44
t13	1	3	2	4	6	5	42	28	14
t21	1	3	2	4	6	5	133	73	60
t22	1	3	2	5	4	6	779	151	628
t23	1	3	2	5	4	6	2909	466	2443
t11	1	3	2	5	4	6	10	10	0
t12	1	3	2	5	4	6	84	40	44
t13	1	3	2	5	4	6	42	28	14
t21	1	3	2	5	4	6	1393	155	1238
t22	1	3	2	5	6	4	1682	265	1417
t23	1	3	2	5	6	4	538	125	413
t11	1	3	2	5	6	4	10	10	0
t12	1	3	2	5	6	4	84	40	44
t13	1	3	2	5	6	4	42	28	14
t21	1	3	2	5	6	4	812	94	718
t22	1	3	2	6	4	5	0	191	-191
t23	1	3	2	6	4	5	0	183	-183
t11	1	3	2	6	4	5	0	10	-10
t12	1	3	2	6	4	5	0	40	-40
t13	1	3	2	6	4	5	0	28	-28
t21	1	3	2	6	4	5	0	213	-213
t22	1	3	2	6	5	4	0	212	-212
t23	1	3	2	6	5	4	0	142	-142
t11	1	3	2	6	5	4	0	10	-10
t12	1	3	2	6	5	4	0	40	-40
t13	1	3	2	6	5	4	0	28	-28
t21	1	3	2	6	5	4	0	213	-213
t22	1	3	4	2	5	6	133	133	0
t23	1	3	4	2	5	6	348	348	0
t11	1	3	4	2	5	6	10	10	0
t12	1	3	4	2	5	6	21	21	0
t13	1	3	4	2	5	6	47	47	0
t21	1	3	4	2	5	6	13	13	0
t22	1	3	4	2	6	5	371	184	187
t23	1	3	4	2	6	5	211	138	73
t11	1	3	4	2	6	5	10	10	0
t12	1	3	4	2	6	5	21	21	0
t13	1	3	4	2	6	5	47	47	0
t21	1	3	4	2	6	5	13	13	0
t22	1	3	4	5	2	6	0	47	-47
t23	1	3	4	5	2	6	0	453	-453
t11	1	3	4	5	2	6	0	10	-10
t12	1	3	4	5	2	6	0	31	-31
t13	1	3	4	5	2	6	0	67	-67
t21	1	3	4	5	2	6	0	155	-155
t22	1	3	4	5	6	2	0	265	-265
t23	1	3	4	5	6	2	0	27	-27
t11	1	3	4	5	6	2	0	10	-10
t12	1	3	4	5	6	2	0	27	-27
t13	1	3	4	5	6	2	0	51	-51
t21	1	3	4	5	6	2	0	94	-94
t22	1	3	4	6	2	5	0	65	-65
t23	1	3	4	6	2	5	0	166	-166
t11	1	3	4	6	2	5	0	10	-10
t12	1	3	4	6	2	5	0	31	-31
t13	1	3	4	6	2	5	0	67	-67
t21	1	3	4	6	2	5	0	213	-213
t22	1	3	4	6	5	2	0	212	-212
t23	1	3	4	6	5	2	0	38	-38
t11	1	3	4	6	5	2	0	10	-10
t12	1	3	4	6	5	2	0	27	-27
t13	1	3	4	6	5	2	0	51	-51
t21	1	3	4	6	5	2	0	213	-213
t22	1	3	5	2	4	6	50	50	0
t23	1	3	5	2	4	6	310	310	0
t11	1	3	5	2	4	6	10	10	0
t12	1	3	5	2	4	6	21	21	0
t13	1	3	5	2	4	6	81	81	0
t21	1	3	5	2	4	6	13	13	0
t22	1	3	5	2	6	4	371	184	187
t23	1	3	5	2	6	4	69	49	20
t11	1	3	5	2	6	4	10	10	0
t12	1	3	5	2	6	4	21	21	0
t13	1	3	5	2	6	4	121	57	64
t21	1	3	5	2	6	4	13	13	0
t22	1	3	5	4	2	6	29	29	0
t23	1	3	5	4	2	6	406	367	39
t11	1	3	5	4	2	6	10	10	0
t12	1	3	5	4	2	6	31	31	0
t13	1	3	5	4	2	6	97	97	0
t21	1	3	5	4	2	6	50	50	0
t22	1	3	5	4	6	2	803	205	598
t23	1	3	5	4	6	2	63	27	36
t11	1	3	5	4	6	2	10	10	0
t12	1	3	5	4	6	2	112	27	85
t13	1	3	5	4	6	2	238	66	172
t21	1	3	5	4	6	2	151	34	117
t22	1	3	5	6	2	4	0	65	-65
t23	1	3	5	6	2	4	0	66	-66
t11	1	3	5	6	2	4	0	10	-10
t12	1	3	5	6	2	4	0	31	-31
t13	1	3	5	6	2	4	0	82	-82
t21	1	3	5	6	2	4	0	213	-213
t22	1	3	5	6	4	2	0	92	-92
t23	1	3	5	6	4	2	0	27	-27
t11	1	3	5	6	4	2	0	10	-10
t12	1	3	5	6	4	2	0	27	-27
t13	1	3	5	6	4	2	0	82	-82
t21	1	3	5	6	4	2	0	213	-213
t22	1	3	6	2	4	5	50	50	0
t23	1	3	6	2	4	5	55	55	0
t11	1	3	6	2	4	5	10	10	0
t12	1	3	6	2	4	5	21	21	0
t13	1	3	6	2	4	5	124	124	0
t21	1	3	6	2	4	5	13	13	0
t22	1	3	6	2	5	4	72	72	0
t23	1	3	6	2	5	4	34	34	0
t11	1	3	6	2	5	4	10	10	0
t12	1	3	6	2	5	4	21	21	0
t13	1	3	6	2	5	4	136	136	0
t21	1	3	6	2	5	4	13	13	0
t22	1	3	6	4	2	5	29	29	0
t23	1	3	6	4	2	5	86	86	0
t11	1	3	6	4	2	5	10	10	0
t12	1	3	6	4	2	5	31	31	0
t13	1	3	6	4	2	5	157	157	0
t21	1	3	6	4	2	5	50	50	0
t22	1	3	6	4	5	2	72	72	0
t23	1	3	6	4	5	2	26	26	0
t11	1	3	6	4	5	2	10	10	0
t12	1	3	6	4	5	2	32	27	5
t13	1	3	6	4	5	2	159	149	10
t21	1	3	6	4	5	2	51	34	17
t22	1	3	6	5	2	4	47	40	7
t23	1	3	6	5	2	4	107	65	42
t11	1	3	6	5	2	4	10	10	0
t12	1	3	6	5	2	4	50	31	19
t13	1	3	6	5	2	4	215	174	41
t21	1	3	6	5	2	4	131	93	38
t22	1	3	6	5	4	2	111	65	46
t23	1	3	6	5	4	2	27	26	1
t11	1	3	6	5	4	2	10	10	0
t12	1	3	6	5	4	2	47	27	20
t13	1	3	6	5	4	2	233	170	63
t21	1	3	6	5	4	2	146	93	53
t22	1	4	2	3	5	6	331	133	198
t23	1	4	2	3	5	6	936	348	588
t11	1	4	2	3	5	6	10	10	0
t12	1	4	2	3	5	6	144	43	101
t13	1	4	2	3	5	6	70	31	39
t21	1	4	2	3	5	6	129	27	102
t22	1	4	2	3	6	5	852	198	654
t23	1	4	2	3	6	5	478	147	331
t11	1	4	2	3	6	5	10	10	0
t12	1	4	2	3	6	5	144	43	101
t13	1	4	2	3	6	5	70	31	39
t21	1	4	2	3	6	5	129	27	102
t22	1	4	2	5	3	6	0	51	-51
t23	1	4	2	5	3	6	0	457	-457
t11	1	4	2	5	3	6	0	10	-10
t12	1	4	2	5	3	6	0	49	-49
t13	1	4	2	5	3	6	0	40	-40
t21	1	4	2	5	3	6	0	155	-155
t22	1	4	2	5	6	3	0	265	-265
t23	1	4	2	5	6	3	0	41	-41
t11	1	4	2	5	6	3	0	10	-10
t12	1	4	2	5	6	3	0	45	-45
t13	1	4	2	5	6	3	0	33	-33
t21	1	4	2	5	6	3	0	94	-94
t22	1	4	2	6	3	5	0	69	-69
t23	1	4	2	6	3	5	0	166	-166
t11	1	4	2	6	3	5	0	10	-10
t12	1	4	2	6	3	5	0	49	-49
t13	1	4	2	6	3	5	0	40	-40
t21	1	4	2	6	3	5	0	213	-213
t22	1	4	2	6	5	3	0	212	-212
t23	1	4	2	6	5	3	0	42	-42
t11	1	4	2	6	5	3	0	10	-10
t12	1	4	2	6	5	3	0	45	-45
t13	1	4	2	6	5	3	0	33	-33
t21	1	4	2	6	5	3	0	213	-213
t22	1	4	3	2	5	6	272	133	139
t23	1	4	3	2	5	6	734	348	386
t11	1	4	3	2	5	6	10	10	0
t12	1	4	3	2	5	6	144	43	101
t13	1	4	3	2	5	6	73	34	39
t21	1	4	3	2	5	6	13	13	0
t22	1	4	3	2	6	5	683	184	499
t23	1	4	3	2	6	5	425	138	287
t11	1	4	3	2	6	5	10	10	0
t12	1	4	3	2	6	5	144	43	101
t13	1	4	3	2	6	5	73	34	39
t21	1	4	3	2	6	5	13	13	0
t22	1	4	3	5	2	6	0	47	-47
t23	1	4	3	5	2	6	0	453	-453
t11	1	4	3	5	2	6	0	10	-10
t12	1	4	3	5	2	6	0	49	-49
t13	1	4	3	5	2	6	0	50	-50
t21	1	4	3	5	2	6	0	155	-155
t22	1	4	3	5	6	2	0	265	-265
t23	1	4	3	5	6	2	0	27	-27
t11	1	4	3	5	6	2	0	10	-10
t12	1	4	3	5	6	2	0	45	-45
t13	1	4	3	5	6	2	0	43	-43
t21	1	4	3	5	6	2	0	94	-94
t22	1	4	3	6	2	5	0	65	-65
t23	1	4	3	6	2	5	0	166	-166
t11	1	4	3	6	2	5	0	10	-10
t12	1	4	3	6	2	5	0	49	-49
t13	1	4	3	6	2	5	0	50	-50
t21	1	4	3	6	2	5	0	213	-213
t22	1	4	3	6	5	2	0	212	-212
t23	1	4	3	6	5	2	0	38	-38
t11	1	4	3	6	5	2	0	10	-10
t12	1	4	3	6	5	2	0	45	-45
t13	1	4	3	6	5	2	0	43	-43
t21	1	4	3	6	5	2	0	213	-213
t22	1	4	5	2	3	6	32	32	0
t23	1	4	5	2	3	6	351	292	59
t11	1	4	5	2	3	6	10	10	0
t12	1	4	5	2	3	6	40	40	0
t13	1	4	5	2	3	6	100	100	0
t21	1	4	5	2	3	6	13	13	0
t22	1	4	5	2	6	3	492	184	308
t23	1	4	5	2	6	3	53	31	22
t11	1	4	5	2	6	3	10	10	0
t12	1	4	5	2	6	3	81	30	51
t13	1	4	5	2	6	3	163	66	97
t21	1	4	5	2	6	3	13	13	0
t22	1	4	5	3	2	6	29	29	0
t23	1	4	5	3	2	6	388	308	80
t11	1	4	5	3	2	6	10	10	0
t12	1	4	5	3	2	6	40	40	0
t13	1	4	5	3	2	6	100	100	0
t21	1	4	5	3	2	6	32	32	0
t22	1	4	5	3	6	2	771	199	572
t23	1	4	5	3	6	2	63	27	36
t11	1	4	5	3	6	2	10	10	0
t12	1	4	5	3	6	2	113	30	83
t13	1	4	5	3	6	2	239	66	173
t21	1	4	5	3	6	2	108	28	80
t22	1	4	5	6	2	3	0	65	-65
t23	1	4	5	6	2	3	0	46	-46
t11	1	4	5	6	2	3	0	10	-10
t12	1	4	5	6	2	3	0	46	-46
t13	1	4	5	6	2	3	0	86	-86
t21	1	4	5	6	2	3	0	213	-213
t22	1	4	5	6	3	2	0	70	-70
t23	1	4	5	6	3	2	0	27	-27
t11	1	4	5	6	3	2	0	10	-10
t12	1	4	5	6	3	2	0	46	-46
t13	1	4	5	6	3	2	0	86	-86
t21	1	4	5	6	3	2	0	213	-213
t22	1	4	6	2	3	5	32	32	0
t23	1	4	6	2	3	5	55	55	0
t11	1	4	6	2	3	5	10	10	0
t12	1	4	6	2	3	5	40	40	0
t13	1	4	6	2	3	5	139	139	0
t21	1	4	6	2	3	5	13	13	0
t22	1	4	6	2	5	3	72	72	0
t23	1	4	6	2	5	3	28	28	0
t11	1	4	6	2	5	3	10	10	0
t12	1	4	6	2	5	3	41	30	11
t13	1	4	6	2	5	3	145	145	0
t21	1	4	6	2	5	3	13	13	0
t22	1	4	6	3	2	5	29	29	0
t23	1	4	6	3	2	5	55	55	0
t11	1	4	6	3	2	5	10	10	0
t12	1	4	6	3	2	5	40	40	0
t13	1	4	6	3	2	5	140	140	0
t21	1	4	6	3	2	5	32	32	0
t22	1	4	6	3	5	2	72	72	0
t23	1	4	6	3	5	2	26	25	1
t11	1	4	6	3	5	2	10	10	0
t12	1	4	6	3	5	2	41	30	11
t13	1	4	6	3	5	2	157	152	5
t21	1	4	6	3	5	2	33	28	5
t22	1	4	6	5	2	3	47	40	7
t23	1	4	6	5	2	3	64	45	19
t11	1	4	6	5	2	3	10	10	0
t12	1	4	6	5	2	3	100	46	54
t13	1	4	6	5	2	3	259	189	70
t21	1	4	6	5	2	3	131	93	38
t22	1	4	6	5	3	2	72	45	27
t23	1	4	6	5	3	2	27	26	1
t11	1	4	6	5	3	2	10	10	0
t12	1	4	6	5	3	2	105	46	59
t13	1	4	6	5	3	2	275	189	86
t21	1	4	6	5	3	2	146	93	53
t22	1	5	2	3	4	6	0	46	-46
t23	1	5	2	3	4	6	0	320	-320
t11	1	5	2	3	4	6	0	10	-10
t12	1	5	2	3	4	6	0	66	-66
t13	1	5	2	3	4	6	0	40	-40
t21	1	5	2	3	4	6	0	27	-27
t22	1	5	2	3	6	4	0	198	-198
t23	1	5	2	3	6	4	0	44	-44
t11	1	5	2	3	6	4	0	10	-10
t12	1	5	2	3	6	4	0	48	-48
t13	1	5	2	3	6	4	0	40	-40
t21	1	5	2	3	6	4	0	27	-27
t22	1	5	2	4	3	6	0	33	-33
t23	1	5	2	4	3	6	0	326	-326
t11	1	5	2	4	3	6	0	10	-10
t12	1	5	2	4	3	6	0	81	-81
t13	1	5	2	4	3	6	0	42	-42
t21	1	5	2	4	3	6	0	46	-46
t22	1	5	2	4	6	3	0	203	-203
t23	1	5	2	4	6	3	0	41	-41
t11	1	5	2	4	6	3	0	10	-10
t12	1	5	2	4	6	3	0	48	-48
t13	1	5	2	4	6	3	0	40	-40
t21	1	5	2	4	6	3	0	32	-32
t22	1	5	2	6	3	4	0	69	-69
t23	1	5	2	6	3	4	0	60	-60
t11	1	5	2	6	3	4	0	10	-10
t12	1	5	2	6	3	4	0	64	-64
t13	1	5	2	6	3	4	0	40	-40
t21	1	5	2	6	3	4	0	213	-213
t22	1	5	2	6	4	3	0	84	-84
t23	1	5	2	6	4	3	0	41	-41
t11	1	5	2	6	4	3	0	10	-10
t12	1	5	2	6	4	3	0	64	-64
t13	1	5	2	6	4	3	0	40	-40
t21	1	5	2	6	4	3	0	213	-213
t22	1	5	3	2	4	6	0	46	-46
t23	1	5	3	2	4	6	0	306	-306
t11	1	5	3	2	4	6	0	10	-10
t12	1	5	3	2	4	6	0	66	-66
t13	1	5	3	2	4	6	0	43	-43
t21	1	5	3	2	4	6	0	13	-13
t22	1	5	3	2	6	4	0	184	-184
t23	1	5	3	2	6	4	0	43	-43
t11	1	5	3	2	6	4	0	10	-10
t12	1	5	3	2	6	4	0	48	-48
t13	1	5	3	2	6	4	0	43	-43
t21	1	5	3	2	6	4	0	13	-13
t22	1	5	3	4	2	6	0	29	-29
t23	1	5	3	4	2	6	0	322	-322
t11	1	5	3	4	2	6	0	10	-10
t12	1	5	3	4	2	6	0	81	-81
t13	1	5	3	4	2	6	0	61	-61
t21	1	5	3	4	2	6	0	46	-46
t22	1	5	3	4	6	2	0	203	-203
t23	1	5	3	4	6	2	0	27	-27
t11	1	5	3	4	6	2	0	10	-10
t12	1	5	3	4	6	2	0	48	-48
t13	1	5	3	4	6	2	0	45	-45
t21	1	5	3	4	6	2	0	32	-32
t22	1	5	3	6	2	4	0	65	-65
t23	1	5	3	6	2	4	0	60	-60
t11	1	5	3	6	2	4	0	10	-10
t12	1	5	3	6	2	4	0	64	-64
t13	1	5	3	6	2	4	0	55	-55
t21	1	5	3	6	2	4	0	213	-213
t22	1	5	3	6	4	2	0	84	-84
t23	1	5	3	6	4	2	0	27	-27
t11	1	5	3	6	4	2	0	10	-10
t12	1	5	3	6	4	2	0	64	-64
t13	1	5	3	6	4	2	0	45	-45
t21	1	5	3	6	4	2	0	213	-213
t22	1	5	4	2	3	6	0	32	-32
t23	1	5	4	2	3	6	0	292	-292
t11	1	5	4	2	3	6	0	10	-10
t12	1	5	4	2	3	6	0	66	-66
t13	1	5	4	2	3	6	0	62	-62
t21	1	5	4	2	3	6	0	13	-13
t22	1	5	4	2	6	3	0	184	-184
t23	1	5	4	2	6	3	0	31	-31
t11	1	5	4	2	6	3	0	10	-10
t12	1	5	4	2	6	3	0	48	-48
t13	1	5	4	2	6	3	0	48	-48
t21	1	5	4	2	6	3	0	13	-13
t22	1	5	4	3	2	6	0	29	-29
t23	1	5	4	3	2	6	0	308	-308
t11	1	5	4	3	2	6	0	10	-10
t12	1	5	4	3	2	6	0	67	-67
t13	1	5	4	3	2	6	0	76	-76
t21	1	5	4	3	2	6	0	32	-32
t22	1	5	4	3	6	2	0	199	-199
t23	1	5	4	3	6	2	0	27	-27
t11	1	5	4	3	6	2	0	10	-10
t12	1	5	4	3	6	2	0	48	-48
t13	1	5	4	3	6	2	0	48	-48
t21	1	5	4	3	6	2	0	28	-28
t22	1	5	4	6	2	3	0	65	-65
t23	1	5	4	6	2	3	0	46	-46
t11	1	5	4	6	2	3	0	10	-10
t12	1	5	4	6	2	3	0	64	-64
t13	1	5	4	6	2	3	0	64	-64
t21	1	5	4	6	2	3	0	213	-213
t22	1	5	4	6	3	2	0	70	-70
t23	1	5	4	6	3	2	0	27	-27
t11	1	5	4	6	3	2	0	10	-10
t12	1	5	4	6	3	2	0	64	-64
t13	1	5	4	6	3	2	0	64	-64
t21	1	5	4	6	3	2	0	213	-213
t22	1	5	6	2	3	4	32	32	0
t23	1	5	6	2	3	4	47	47	0
t11	1	5	6	2	3	4	10	10	0
t12	1	5	6	2	3	4	49	49	0
t13	1	5	6	2	3	4	154	154	0
t21	1	5	6	2	3	4	13	13	0
t22	1	5	6	2	4	3	52	52	0
t23	1	5	6	2	4	3	28	28	0
t11	1	5	6	2	4	3	10	10	0
t12	1	5	6	2	4	3	60	60	0
t13	1	5	6	2	4	3	159	159	0
t21	1	5	6	2	4	3	13	13	0
t22	1	5	6	3	2	4	29	29	0
t23	1	5	6	3	2	4	47	47	0
t11	1	5	6	3	2	4	10	10	0
t12	1	5	6	3	2	4	60	60	0
t13	1	5	6	3	2	4	160	160	0
t21	1	5	6	3	2	4	32	32	0
t22	1	5	6	3	4	2	52	52	0
t23	1	5	6	3	4	2	15	15	0
t11	1	5	6	3	4	2	10	10	0
t12	1	5	6	3	4	2	60	60	0
t13	1	5	6	3	4	2	176	160	16
t21	1	5	6	3	4	2	33	28	5
t22	1	5	6	4	2	3	29	29	0
t23	1	5	6	4	2	3	63	44	19
t11	1	5	6	4	2	3	10	10	0
t12	1	5	6	4	2	3	73	73	0
t13	1	5	6	4	2	3	200	200	0
t21	1	5	6	4	2	3	71	71	0
t22	1	5	6	4	3	2	49	34	15
t23	1	5	6	4	3	2	26	26	0
t11	1	5	6	4	3	2	10	10	0
t12	1	5	6	4	3	2	73	73	0
t13	1	5	6	4	3	2	200	200	0
t21	1	5	6	4	3	2	71	71	0
t22	1	6	2	3	4	5	0	46	-46
t23	1	6	2	3	4	5	0	51	-51
t11	1	6	2	3	4	5	0	10	-10
t12	1	6	2	3	4	5	0	104	-104
t13	1	6	2	3	4	5	0	50	-50
t21	1	6	2	3	4	5	0	27	-27
t22	1	6	2	3	5	4	0	66	-66
t23	1	6	2	3	5	4	0	35	-35
t11	1	6	2	3	5	4	0	10	-10
t12	1	6	2	3	5	4	0	105	-105
t13	1	6	2	3	5	4	0	51	-51
t21	1	6	2	3	5	4	0	27	-27
t22	1	6	2	4	3	5	0	33	-33
t23	1	6	2	4	3	5	0	51	-51
t11	1	6	2	4	3	5	0	10	-10
t12	1	6	2	4	3	5	0	104	-104
t13	1	6	2	4	3	5	0	51	-51
t21	1	6	2	4	3	5	0	46	-46
t22	1	6	2	4	5	3	0	66	-66
t23	1	6	2	4	5	3	0	29	-29
t11	1	6	2	4	5	3	0	10	-10
t12	1	6	2	4	5	3	0	109	-109
t13	1	6	2	4	5	3	0	55	-55
t21	1	6	2	4	5	3	0	32	-32
t22	1	6	2	5	3	4	0	33	-33
t23	1	6	2	5	3	4	0	49	-49
t11	1	6	2	5	3	4	0	10	-10
t12	1	6	2	5	3	4	0	124	-124
t13	1	6	2	5	3	4	0	56	-56
t21	1	6	2	5	3	4	0	75	-75
t22	1	6	2	5	4	3	0	48	-48
t23	1	6	2	5	4	3	0	30	-30
t11	1	6	2	5	4	3	0	10	-10
t12	1	6	2	5	4	3	0	124	-124
t13	1	6	2	5	4	3	0	56	-56
t21	1	6	2	5	4	3	0	75	-75
t22	1	6	3	2	4	5	0	46	-46
t23	1	6	3	2	4	5	0	51	-51
t11	1	6	3	2	4	5	0	10	-10
t12	1	6	3	2	4	5	0	100	-100
t13	1	6	3	2	4	5	0	57	-57
t21	1	6	3	2	4	5	0	13	-13
t22	1	6	3	2	5	4	0	66	-66
t23	1	6	3	2	5	4	0	32	-32
t11	1	6	3	2	5	4	0	10	-10
t12	1	6	3	2	5	4	0	101	-101
t13	1	6	3	2	5	4	0	57	-57
t21	1	6	3	2	5	4	0	13	-13
t22	1	6	3	4	2	5	0	29	-29
t23	1	6	3	4	2	5	0	51	-51
t11	1	6	3	4	2	5	0	10	-10
t12	1	6	3	4	2	5	0	104	-104
t13	1	6	3	4	2	5	0	70	-70
t21	1	6	3	4	2	5	0	46	-46
t22	1	6	3	4	5	2	0	66	-66
t23	1	6	3	4	5	2	0	23	-23
t11	1	6	3	4	5	2	0	10	-10
t12	1	6	3	4	5	2	0	109	-109
t13	1	6	3	4	5	2	0	60	-60
t21	1	6	3	4	5	2	0	32	-32
t22	1	6	3	5	2	4	0	29	-29
t23	1	6	3	5	2	4	0	49	-49
t11	1	6	3	5	2	4	0	10	-10
t12	1	6	3	5	2	4	0	124	-124
t13	1	6	3	5	2	4	0	75	-75
t21	1	6	3	5	2	4	0	75	-75
t22	1	6	3	5	4	2	0	48	-48
t23	1	6	3	5	4	2	0	26	-26
t11	1	6	3	5	4	2	0	10	-10
t12	1	6	3	5	4	2	0	124	-124
